EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
40179829953,1,ALFMF,,NEWO,S,20,1,0.1,T,data/2023-12/e2020_20231205_LST_EVT_2.txt
40179953904,1,PAVM,2023/12/07,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231205_LST_EVT_2.txt
201010273269384,1,PRSR,2023/12/14,ADEX,S,1,1,0,F,data/2023-12/e2020_20231207_LST_EVT_3.txt
201010273272003,1,CENTA,2024/01/05,ADEX,S,4,1,0,F,data/2023-12/e2020_20231211_LST_EVT_3.txt
40179939343,1,GENE,2023/12/14,NEWO,S,5,1,0,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179961475,1,SNCR,2023/12/11,NEWO,S,9,1,0.0001,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179963410,1,AUVI,2023/12/12,NEWO,S,25,1,0.0001,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179977780,1,CYTO,2023/12/13,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179979104,1,SRZN,2023/12/14,NEWO,S,15,1,0.0001,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179989097,1,AIMD,2023/12/14,NEWO,S,5,1,0.01,T,data/2023-12/e2020_20231213_LST_EVT_0.txt
40179660524,1,CENN,2023/12/08,NEWO,S,10,1,0,T,data/2023-12/e2020_20231206_LST_EVT_3.txt
40179865073,1,AWLIF,2023/12/07,NEWO,S,6,1,0,T,data/2023-12/e2020_20231206_LST_EVT_3.txt
40179944632,1,XOS,2023/12/07,NEWO,S,30,1,0.0001,T,data/2023-12/e2020_20231206_LST_EVT_3.txt
40179953904,1,PAVM,2023/12/07,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231206_LST_EVT_3.txt
40659956725,1,NFPDF,,NEWO,S,1,3,0,T,data/2023-12/e2020_20231206_LST_EVT_2.txt
40179848616,1,FLLHF,2023/12/04,NEWO,S,50,1,0.01,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179865073,1,AWLIF,,NEWO,S,6,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179869297,1,DSS,,NEWO,S,55,1,0.02,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179918126,1,XXMMF,2023/12/04,NEWO,S,5,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179929500,1,FLJ,2023/12/07,NEWO,S,40,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179937142,1,JG,2023/12/06,NEWO,S,20,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179938867,1,ZVSA,2023/12/05,NEWO,S,35,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179944632,1,XOS,2023/12/07,NEWO,S,30,1,0.0001,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179801518,1,OZYMF,2023/12/06,NEWO,S,1000,1,1,T,data/2023-12/e2020_20231206_LST_EVT_0.txt
40179944632,1,XOS,2023/12/07,NEWO,S,30,1,0.0001,T,data/2023-12/e2020_20231206_LST_EVT_0.txt
40179953904,1,PAVM,2023/12/07,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231206_LST_EVT_0.txt
40179977780,1,CYTO,2023/12/13,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231212_LST_EVT_0.txt
40659953892,1,IDKOY,2023/12/28,NEWO,S,1,1.25,0,T,data/2023-12/e2020_20231205_LST_EVT_2.txt
40179977780,1,CYTO,2023/12/13,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231212_LST_EVT_1.txt
202010273270644,2,NLOP,2023/12/15,ADEX,S,0,0,0,T,data/2023-12/e2020_20231212_LST_EVT_1.txt
40659953892,1,IDKOY,2024/01/05,NEWO,S,1,5,0,T,data/2023-12/e2020_20231205_LST_EVT_3.txt
40179660524,1,CENN,2023/12/08,NEWO,S,10,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179824176,1,GNTLF,,NEWO,S,100,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179829519,1,MNXMF,2023/11/29,NEWO,S,15,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179840973,1,LKOLF,2023/12/04,NEWO,S,1000,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179929146,1,TIL,2023/12/08,NEWO,S,20,1,0.000001,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179937142,1,JG,2023/12/11,NEWO,S,20,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179939343,1,GENE,2023/12/13,NEWO,S,5,1,0,T,data/2023-12/e2020_20231207_LST_EVT_2.txt
202010273230695,2,LKREF,2023/11/21,ADEX,S,1,0.033726,0,F,data/2023-12/e2020_20231207_LST_EVT_2.txt
202010273231441,2,NAUBF,2023/11/14,ADEX,S,1,0.029661,0,F,data/2023-12/e2020_20231207_LST_EVT_2.txt
40179866736,1,TCBP,2023/12/15,NEWO,S,20,1,0,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179939343,1,GENE,2023/12/14,NEWO,S,5,1,0,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179979104,1,SRZN,2023/12/14,NEWO,S,15,1,0.0001,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179989097,1,AIMD,2023/12/14,NEWO,S,5,1,0.01,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179991390,1,,2023/12/15,NEWO,S,10,1,0.1,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179991390,1,HUBC,2023/12/15,NEWO,S,10,1,0.1,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40179991524,1,CYCC,2023/12/18,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231213_LST_EVT_1.txt
40659027109,1,TKCCF,2023/12/28,NEWO,S,1,2,0,T,data/2023-12/e2020_20231214_LST_EVT_1.txt
40659049029,1,YAMHF,2023/12/28,NEWO,S,1,3,0,T,data/2023-12/e2020_20231214_LST_EVT_1.txt
40659853623,1,MSBHF,2023/12/28,NEWO,S,1,3,0,T,data/2023-12/e2020_20231214_LST_EVT_1.txt
401710002413,1,UNPRF,2023/12/18,NEWO,S,20,1,0,T,data/2023-12/e2020_20231218_LST_EVT_3.txt
401710006426,1,BTTRX,2023/12/07,NEWO,S,1,0.95962,0,T,data/2023-12/e2020_20231218_LST_EVT_3.txt
401710006484,1,ACTVX,2023/12/07,NEWO,S,1,0.95968,0,T,data/2023-12/e2020_20231218_LST_EVT_3.txt
401710006604,1,SCOR,2023/12/20,NEWO,S,20,1,0.001,T,data/2023-12/e2020_20231218_LST_EVT_3.txt
